psraid,sample,lang,state,cregion,usr,form,sex,q1,marital,par,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,eminuse,intmob,home3nw,q3,act112,act107,act124,act125,act136,act135,fb1,fb2,fb3,ql1,smart1,cell1a,cell1b,cell1c,txtavg1,txtavg2,txtavg3,txtavg4,txtavg5,emlavg1,emlavg2,emlavg3,picavg1,picavg2,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q4h,q4i,q4j,q4k,q4l,q5,q6,q7a,q7b,q7c,q7d,q7e,q7f,q8,q9a,q9b,q9c,q9d,q9e,q9f,q10a,q10b,q10c,q10d,q10e,q10f,q10g,q11a,q11b,q11c,q11d,q11e,sns2a,sns2b,sns2c,sns2d,sns2e,fb4,fb5,fb6,fb7,fb8a,fb8b,fb8c,fb8d,fb8e,fb9a,fb9b,fb9c,fb9d,fb9e,fb9f,fb9g,fb9h,fb10a,fb10b,fb10c,fb10d,fb10e,fb10f,fb10g,fb10h,age,hh1,live2,educ2,emplnw,hisp,birth_hisp,race,inc,ql1a,ql2hh,qc1,qc2hh,zipcode,weight,standwt
202567,2,1,39,2,S,2,2,1,1,2,3,3,3,3,1,3,1,1,2,3,1,2,1,2,2,2,2,2,1,1, , , , ,2,2,2,1,5, ,2,0, ,50, ,25, , ,2,4,4,4,2,1,4,4,1,2,2,1,2,2,1,2,4,4, ,4,3,4,1,2,2,4, ,2,2,2,2,2,2, ,3,2,1,2,3, , , ,5,2,40,2, , ,6,6,6,6,5,2,2,1,2,3,2,3,3,1,1,3, ,1,3,3,3,53,3,3,8,1,2, ,1,99, , ,1,2,45036,2.4375,.796893975286859
202576,2,1,45,3,S,2,1,2,2,2,3,4,2,1,1,4,1,1,3,4,1,1,1,2,2,2,2,2,2,2,2, , , ,1,1,1,1,50, ,8,4, ,10, ,6, , ,2,1,3,1,4,1,2,4,1,1,1,1,1,2,3,1,1, , ,1,4,1,2,1,1, , ,1,3,3,3,8, , ,3,3,1,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,33,2,3,6,1,2, ,1,1, , ,1,1,29168,1.84375,.602778776178521
202577,2,1,26,2,S,1,1,4,6,2,4,4,3,4,1,4,1,1,3,4,1,1,1,2,1,1,1,2,2,1, , , , ,1,1,1,1,75, ,2,0, ,6, ,2,3, ,1,4,1,4,4,1,4,4,4,2,4,4,3,2,4,2,3,2,2,2,3,2,2,2,2,2,2, ,2,2,2,2,2,2,1,1,1,1,1,1,1, , ,1,400,2, , ,2,1,4,3,1,3,2,2,2,2,2,2,2,3,3,3, ,3,3,3,3,18,2,2,3,4,2, ,1,4, , ,2, ,49117,4.5,1.47118887745266
202579,2,1,51,3,S,2,2,1,6,2,4,2,4,2,2,2,2,2,4,4,1,1,1,2,2,1,2,2,2,1, , , , ,1,1,1,1,10, ,20,1, ,30, ,15,1, ,4,4,4,4,4,4,4,4,4,4,4,2,2,2,3,3,3,1, ,4,2,4,4,4,4,4, , ,1,1,1,1,1, ,4,4,4,4,4, , , , ,1,900,2, , ,7,3,3,3,3,3,1,3,1,1,3,3,1,1,3,2, ,3,3,3,2,32,3,3,4,1,2, ,2,7, , ,1,1,22408,4.65625,1.52227182458644
202580,2,1,21,3,U,1,1,5,6,2,1,4,3,4,3,2,4,4,4,4,2,2, ,8, , , , , , , , , , ,2,2,2,2, , , , , , , , , , ,4,4,4,4,4,4,1,4,2,4,4,4,4,2,4,1,1, , , ,9,9,1,1,1, , , ,2,9,2,2, , ,2,4,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,57,5,5,3,5,2, ,2,2, , ,1,1,40211,4.0625,1.3281566254781
202587,2,1,6,4,U,1,2,2,2,2,3,1,2,1,1,3,1,1,2,3,1,1,1,2,2,2,2,2,2,2,2, , , ,1,1,1,1,25, ,15,5, ,5, ,4, , ,4,4,4,4,4,1,4,2,4,4,4,1,1,1,4,1,1, , ,1,1,1,1,1,1, , ,2,1,1,2,8, , ,4,4,1,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24,2,3,6,2,1,1,6,7, , ,2, ,90804,3.90625,1.27707367834432
202594,2,1,17,2,S,2,1,1,1,2,4,4,3,3,1,4,3,1,4,3,1,2,1,1,1,1,2,2,2,1, , , , ,2,2,2,1,0, ,5,0, ,7, ,7,1, ,4,1,1,4,2,4,1,1,4,1,2,4,3,3,3,3,4,4,4,4,2,2,2,2,2,4,4,1,2,2,2,8,8,8,4,2,2,4,2,2, , , ,5,20,2, , ,7,6,6,6,6,3,2,2,3,3,3,3,3,1,2,2, ,2,2,1,2,54,2,4,5,1,2, ,1,5, , ,1,2,61616,2.90625,.950142816688178
202603,2,2,6,4,S,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1, , , , ,1,1,1,1,4, ,4,3, ,6, ,4, , ,4,4,4,2,4,4,1,4,4,4,4,2,2,2,3,2,2,4, ,2,2,1,1,2,4,2, ,2,2,2,2,2,2, ,4,2,2,2,3, , , , ,2,30,2, , ,6,7,6,6,6,1,2,2,2,2,1,2,1,1,1,1,1,1,2,3,2,50,5,2,3,1,1,3,1,5, , ,2, ,92841,5.71875,1.86963586509609
202605,2,1,55,2,R,1,1,4,1,2,2,1,4,1,1,4,2,1,4,3,1,1,1,2,2,2,2,2,2,2,2, , , ,1,2,2,1,6, ,2,2, ,2, ,2, , ,4,4,4,2,4,1,1,4,1,1,1,1,2,2,3,2,2, , ,4,1,2,2,2,2, , ,1,1,1,1,1, , ,3,4,4,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,56,2,5,3,3,2, ,1,6, , ,1,2,54801,2.65625,.868410101274141
202608,2,1,21,3,U,1,1,3,1,1,2,4,3,1,1,4,1,1,4,4,1,1,1,2,2,2,2,2,1,1, , , , ,1,1,1,1,10, ,3,1, ,100, ,25, , ,1,4,4,4,4,4,4,4,4,1,4,4,1,1,4,3,3,3, ,1,4,2,2,1,2,2, ,1,1,1,2,8,2, ,2,4,3,2,2, , , ,5,5,100,2, , ,6,7,4,5,7,3,2,2,3,2,2,2,2,3,3,1,1,3,3,3,3,99,9,2,8,1,2, ,1,9, , ,1,1,40026,1.84375,.602778776178521
